epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 2.66s	400.6135	0.0870	0.0641	0.8458
  2	 2.68s	229.5350	0.0744	0.0546	0.8718
  3	 2.65s	202.3493	0.0710	0.0497	0.8937
  4	 2.71s	190.0095	0.0657	0.0462	0.8983
  5	 2.68s	184.0737	0.0660	0.0455	0.9023
  6	 2.67s	180.4252	0.0659	0.0450	0.9000
  7	 2.69s	178.0714	0.0651	0.0443	0.9010
  8	 2.73s	176.6004	0.0639	0.0437	0.9044
  9	 2.67s	174.9186	0.0626	0.0429	0.9042
 10	 2.71s	174.7553	0.0638	0.0432	0.9055
 11	 2.66s	173.7791	0.0645	0.0438	0.9046
 12	 2.68s	173.3307	0.0626	0.0428	0.9062
 13	 2.66s	173.2909	0.0629	0.0436	0.9051
 14	 2.64s	172.8807	0.0636	0.0435	0.9014
 15	 2.67s	172.5556	0.0634	0.0431	0.9027
 16	 2.71s	172.0888	0.0630	0.0430	0.9085
 17	 2.68s	173.5509	0.0655	0.0439	0.9079
 18	 2.69s	172.0888	0.0635	0.0429	0.9033
 19	 2.72s	171.6051	0.0621	0.0423	0.9072
 20	 2.69s	171.2724	0.0618	0.0422	0.9099
 21	 2.65s	170.5741	0.0630	0.0430	0.9085
 22	 2.75s	170.3769	0.0615	0.0423	0.9084
 23	 2.71s	169.8752	0.0613	0.0427	0.9097
 24	 2.71s	169.5039	0.0611	0.0420	0.9095
 25	 2.71s	168.8251	0.0659	0.0437	0.9070
 26	 2.68s	168.2921	0.0602	0.0414	0.9126
 27	 2.71s	168.0318	0.0622	0.0427	0.9042
 28	 2.67s	167.4726	0.0654	0.0433	0.9045
 29	 2.71s	167.1742	0.0629	0.0421	0.9112
 30	 2.71s	167.0448	0.0633	0.0425	0.9080
 31	 2.66s	167.1341	0.0619	0.0426	0.9122
 32	 2.72s	167.0241	0.0622	0.0424	0.9068
 33	 2.72s	166.1153	0.0616	0.0423	0.9083
 34	 2.71s	166.4029	0.0640	0.0430	0.9079
 35	 2.71s	166.7327	0.0610	0.0425	0.9107
 36	 2.72s	165.5938	0.0622	0.0417	0.9119
 37	 2.69s	165.3917	0.0623	0.0427	0.9087
 38	 2.71s	164.9352	0.0622	0.0422	0.9090
 39	 2.71s	165.2338	0.0625	0.0425	0.9083
 40	 2.71s	164.9879	0.0643	0.0424	0.9116
 41	 2.62s	165.3317	0.0625	0.0424	0.9102
 42	 2.71s	165.0710	0.0632	0.0426	0.9082
 43	 2.66s	164.8954	0.0660	0.0433	0.9056
 44	 2.65s	164.2303	0.0630	0.0423	0.9086
 45	 2.68s	164.4777	0.0631	0.0425	0.9130
 46	 2.66s	164.0938	0.0611	0.0424	0.9125
 47	 2.66s	164.2036	0.0652	0.0432	0.9057
 48	 2.66s	164.1539	0.0624	0.0424	0.9072
 49	 2.67s	163.7462	0.0620	0.0436	0.9096
 50	 2.69s	163.7988	0.0669	0.0436	0.9057
 51	 2.64s	163.6961	0.0646	0.0431	0.9086
 52	 2.68s	163.3793	0.0624	0.0425	0.9129
 53	 2.69s	162.8849	0.0616	0.0431	0.9087
 54	 2.70s	163.1800	0.0635	0.0428	0.9070
 55	 2.68s	163.4275	0.0634	0.0433	0.9101
 56	 2.69s	162.6803	0.0641	0.0431	0.9081
 57	 2.69s	162.8484	0.0641	0.0427	0.9080
 58	 2.67s	162.5964	0.0631	0.0423	0.9106
 59	 2.66s	162.4172	0.0629	0.0425	0.9092
 60	 2.68s	162.4619	0.0644	0.0428	0.9100
 61	 2.64s	162.1089	0.0677	0.0442	0.9033
 62	 2.72s	162.0528	0.0643	0.0437	0.9090
 63	 2.72s	162.1245	0.0642	0.0429	0.9076
 64	 2.70s	162.2145	0.0632	0.0439	0.9091
 65	 2.68s	162.1417	0.0658	0.0453	0.9048
 66	 2.70s	162.4048	0.0632	0.0437	0.9088
 67	 2.72s	162.2645	0.0640	0.0443	0.9091
 68	 2.65s	161.9130	0.0644	0.0429	0.9091
 69	 2.65s	161.4966	0.0638	0.0428	0.9093
 70	 2.70s	162.1867	0.0624	0.0430	0.9110
 71	 2.63s	161.7830	0.0663	0.0450	0.9071
 72	 2.67s	162.0079	0.0663	0.0443	0.9041
