epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 5.50s	550.5980	0.0827	0.0679	0.8243
  2	 5.46s	253.1437	0.0743	0.0575	0.8511
  3	 5.48s	222.7017	0.0709	0.0530	0.8588
  4	 5.45s	208.5444	0.0700	0.0520	0.8594
  5	 5.47s	202.9141	0.0700	0.0505	0.8604
  6	 5.45s	199.2090	0.0690	0.0497	0.8610
  7	 5.44s	197.0964	0.0689	0.0492	0.8611
  8	 5.44s	195.8689	0.0697	0.0496	0.8613
  9	 5.47s	194.6487	0.0696	0.0495	0.8612
 10	 5.49s	194.7509	0.0691	0.0490	0.8612
 11	 5.41s	194.4610	0.0692	0.0488	0.8613
 12	 5.48s	193.8592	0.0692	0.0489	0.8612
 13	 5.47s	193.8942	0.0693	0.0488	0.8611
 14	 5.47s	193.7953	0.0696	0.0493	0.8608
 15	 5.45s	194.0093	0.0698	0.0499	0.8610
 16	 5.49s	194.0164	0.0695	0.0489	0.8609
 17	 5.47s	193.6224	0.0696	0.0491	0.8611
 18	 5.46s	193.6991	0.0702	0.0494	0.8611
 19	 5.46s	193.5435	0.0696	0.0489	0.8608
 20	 5.45s	193.9530	0.0695	0.0494	0.8608
 21	 5.44s	193.5999	0.0700	0.0496	0.8607
 22	 5.48s	193.5167	0.0694	0.0487	0.8609
 23	 5.48s	193.6439	0.0696	0.0491	0.8606
 24	 5.48s	193.6673	0.0694	0.0487	0.8609
 25	 5.46s	193.6093	0.0699	0.0492	0.8607
 26	 5.51s	194.1271	0.0700	0.0499	0.8607
 27	 5.47s	193.5196	0.0699	0.0490	0.8608
 28	 5.47s	194.0363	0.0695	0.0487	0.8608
 29	 5.47s	193.6380	0.0697	0.0492	0.8608
 30	 5.44s	193.6492	0.0696	0.0489	0.8610
 31	 5.41s	193.4411	0.0697	0.0493	0.8606
 32	 5.47s	194.3120	0.0696	0.0489	0.8609
 33	 5.49s	193.6616	0.0695	0.0487	0.8610
 34	 5.50s	193.6961	0.0697	0.0489	0.8610
 35	 5.47s	193.9294	0.0696	0.0493	0.8608
 36	 5.48s	193.7101	0.0703	0.0492	0.8608
 37	 5.48s	193.6636	0.0697	0.0489	0.8610
 38	 5.47s	193.6381	0.0698	0.0493	0.8609
 39	 5.46s	193.4445	0.0694	0.0487	0.8611
 40	 5.44s	193.9712	0.0697	0.0489	0.8609
 41	 5.41s	193.9586	0.0696	0.0488	0.8611
 42	 5.46s	193.7646	0.0695	0.0491	0.8609
 43	 5.46s	193.7640	0.0696	0.0491	0.8610
 44	 5.43s	193.7058	0.0696	0.0488	0.8610
 45	 5.44s	193.8006	0.0697	0.0493	0.8607
 46	 5.45s	193.6772	0.0696	0.0489	0.8609
 47	 5.45s	193.5534	0.0695	0.0488	0.8609
 48	 5.48s	193.9129	0.0695	0.0487	0.8608
 49	 5.44s	194.0138	0.0702	0.0498	0.8610
 50	 5.46s	193.6298	0.0695	0.0488	0.8610
 51	 5.41s	193.9473	0.0695	0.0489	0.8610
 52	 5.45s	193.4854	0.0695	0.0489	0.8608
 53	 5.46s	193.7587	0.0696	0.0489	0.8610
 54	 5.45s	193.7054	0.0700	0.0498	0.8607
 55	 5.49s	193.9530	0.0698	0.0493	0.8608
 56	 5.46s	193.7802	0.0695	0.0488	0.8609
 57	 5.46s	193.6148	0.0695	0.0492	0.8609
 58	 5.45s	193.6549	0.0699	0.0492	0.8609
 59	 5.47s	193.4742	0.0697	0.0491	0.8606
 60	 5.47s	193.8558	0.0698	0.0490	0.8608
 61	 5.43s	193.7527	0.0695	0.0488	0.8608
 62	 5.44s	193.4219	0.0696	0.0490	0.8609
 63	 5.43s	193.9850	0.0696	0.0490	0.8608
 64	 5.44s	193.6347	0.0695	0.0492	0.8608
 65	 5.45s	193.5352	0.0705	0.0496	0.8610
 66	 5.45s	194.0524	0.0695	0.0487	0.8608
 67	 5.44s	193.5464	0.0696	0.0487	0.8607
 68	 5.47s	193.8744	0.0695	0.0488	0.8609
 69	 5.47s	193.6167	0.0695	0.0489	0.8607
 70	 5.46s	193.5440	0.0699	0.0494	0.8609
 71	 5.43s	193.6188	0.0695	0.0489	0.8609
 72	 5.47s	193.8589	0.0705	0.0500	0.8611
 73	 5.45s	193.5658	0.0698	0.0495	0.8609
 74	 5.46s	193.9138	0.0695	0.0488	0.8609
 75	 5.46s	193.9114	0.0695	0.0490	0.8609
 76	 5.47s	193.5639	0.0698	0.0498	0.8609
 77	 5.48s	193.6478	0.0698	0.0490	0.8610
 78	 5.47s	193.8219	0.0697	0.0493	0.8610
 79	 5.46s	193.6177	0.0697	0.0491	0.8611
 80	 5.47s	193.5377	0.0699	0.0495	0.8610
 81	 5.42s	193.6917	0.0698	0.0490	0.8610
 82	 5.47s	193.6099	0.0697	0.0488	0.8610
 83	 5.44s	194.1803	0.0696	0.0489	0.8608
 84	 5.44s	193.9210	0.0698	0.0496	0.8609
 85	 5.47s	193.7710	0.0697	0.0491	0.8609
 86	 5.50s	193.7124	0.0694	0.0488	0.8608
