epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 8.55s	640.0102	0.0785	0.0619	0.8481
  2	 8.59s	227.6205	0.0728	0.0549	0.8567
  3	 8.55s	213.3379	0.0733	0.0537	0.8594
  4	 8.58s	206.8377	0.0695	0.0513	0.8611
  5	 8.59s	202.1697	0.0715	0.0515	0.8615
  6	 8.51s	199.6233	0.0688	0.0496	0.8618
  7	 8.57s	197.5528	0.0692	0.0496	0.8620
  8	 8.56s	196.3745	0.0695	0.0495	0.8619
  9	 8.58s	195.9410	0.0690	0.0498	0.8619
 10	 8.58s	195.3788	0.0694	0.0497	0.8618
 11	 8.53s	194.8136	0.0696	0.0494	0.8618
 12	 8.52s	195.0171	0.0695	0.0495	0.8614
 13	 8.56s	194.5478	0.0692	0.0490	0.8614
 14	 8.55s	194.3771	0.0696	0.0493	0.8614
 15	 8.55s	194.1945	0.0693	0.0489	0.8613
 16	 8.56s	194.4018	0.0694	0.0489	0.8612
 17	 8.58s	194.5262	0.0699	0.0495	0.8610
 18	 8.55s	193.9298	0.0699	0.0495	0.8610
 19	 8.49s	194.0933	0.0696	0.0489	0.8611
 20	 8.60s	194.0201	0.0693	0.0488	0.8610
 21	 8.53s	194.1259	0.0698	0.0495	0.8611
 22	 8.55s	194.0257	0.0693	0.0489	0.8610
 23	 8.56s	193.7295	0.0697	0.0495	0.8609
 24	 8.56s	193.7203	0.0711	0.0503	0.8609
 25	 8.49s	193.8641	0.0696	0.0491	0.8608
 26	 8.57s	193.8536	0.0693	0.0488	0.8611
 27	 8.57s	194.3208	0.0694	0.0489	0.8609
 28	 8.58s	194.1339	0.0695	0.0487	0.8610
 29	 8.56s	193.9321	0.0703	0.0497	0.8610
 30	 8.60s	194.2526	0.0696	0.0489	0.8608
 31	 8.55s	194.5791	0.0695	0.0488	0.8610
 32	 8.57s	194.2405	0.0695	0.0489	0.8611
 33	 8.54s	194.1494	0.0695	0.0489	0.8611
 34	 8.55s	194.0142	0.0695	0.0491	0.8608
 35	 8.54s	193.9740	0.0703	0.0500	0.8609
 36	 8.56s	193.8997	0.0696	0.0489	0.8611
 37	 8.54s	194.0437	0.0694	0.0488	0.8610
 38	 8.52s	194.0040	0.0699	0.0492	0.8610
 39	 8.54s	193.9909	0.0694	0.0489	0.8610
 40	 8.56s	193.9936	0.0695	0.0488	0.8609
 41	 8.53s	193.9278	0.0694	0.0488	0.8611
 42	 8.58s	193.7630	0.0697	0.0492	0.8610
 43	 8.57s	193.9925	0.0695	0.0487	0.8610
 44	 8.51s	193.7410	0.0696	0.0493	0.8606
 45	 8.55s	194.2386	0.0697	0.0496	0.8607
