epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 5.20s	513.1151	0.0886	0.0717	0.8334
  2	 5.17s	238.5339	0.0723	0.0551	0.8693
  3	 5.18s	205.5305	0.0689	0.0512	0.8759
  4	 5.21s	195.6636	0.0678	0.0489	0.8818
  5	 5.17s	190.4979	0.0708	0.0493	0.8867
  6	 5.17s	187.0388	0.0681	0.0478	0.8898
  7	 5.18s	185.2375	0.0660	0.0470	0.8918
  8	 5.16s	183.7603	0.0665	0.0475	0.8903
  9	 5.17s	182.9795	0.0660	0.0464	0.8932
 10	 5.19s	181.2329	0.0659	0.0462	0.8933
 11	 5.15s	180.8158	0.0670	0.0470	0.8948
 12	 5.16s	179.6520	0.0657	0.0463	0.8949
 13	 5.19s	179.2524	0.0661	0.0464	0.8938
 14	 5.17s	178.2044	0.0650	0.0457	0.8957
 15	 5.16s	177.6229	0.0668	0.0477	0.8960
 16	 5.19s	176.8664	0.0665	0.0465	0.8978
 17	 5.23s	176.2762	0.0720	0.0498	0.8951
 18	 5.19s	176.1061	0.0655	0.0464	0.8951
 19	 5.19s	175.7501	0.0678	0.0475	0.8963
 20	 5.18s	175.2733	0.0648	0.0463	0.8963
 21	 5.15s	174.5760	0.0745	0.0502	0.8980
 22	 5.20s	173.9564	0.0651	0.0457	0.8984
 23	 5.21s	173.7826	0.0673	0.0472	0.8959
 24	 5.19s	173.2586	0.0651	0.0457	0.8952
 25	 5.19s	172.3146	0.0674	0.0461	0.8971
 26	 5.17s	172.4986	0.0666	0.0461	0.8969
 27	 5.22s	171.5805	0.0678	0.0471	0.8957
 28	 5.18s	171.2080	0.0670	0.0463	0.8970
 29	 5.20s	171.3713	0.0684	0.0479	0.8982
 30	 5.20s	170.9324	0.0716	0.0479	0.8977
 31	 5.13s	170.4118	0.0678	0.0464	0.8970
 32	 5.18s	169.7515	0.0667	0.0457	0.8975
 33	 5.19s	169.9702	0.0678	0.0465	0.8975
 34	 5.22s	169.4877	0.0709	0.0471	0.8976
 35	 5.21s	169.8861	0.0723	0.0493	0.8974
 36	 5.22s	169.3565	0.0704	0.0476	0.8979
 37	 5.20s	169.8921	0.0742	0.0497	0.8982
 38	 5.19s	168.5441	0.0731	0.0483	0.8983
 39	 5.19s	169.0142	0.0679	0.0465	0.8973
 40	 5.18s	168.0318	0.0687	0.0464	0.8988
 41	 5.15s	168.1916	0.0708	0.0472	0.8975
 42	 5.20s	168.0065	0.0747	0.0482	0.8969
 43	 5.21s	167.8966	0.0693	0.0468	0.8984
 44	 5.17s	168.3828	0.0692	0.0463	0.8992
 45	 5.22s	167.5326	0.0705	0.0468	0.8983
 46	 5.20s	167.4368	0.0663	0.0463	0.8978
 47	 5.17s	168.0711	0.0692	0.0466	0.8980
 48	 5.19s	167.0174	0.0773	0.0490	0.8991
 49	 5.23s	166.7108	0.0713	0.0477	0.8968
 50	 5.20s	166.9334	0.0733	0.0479	0.8985
 51	 5.15s	166.7373	0.0711	0.0467	0.8992
 52	 5.19s	166.8218	0.0674	0.0458	0.8992
 53	 5.20s	166.2003	0.0799	0.0495	0.8990
 54	 5.18s	165.9298	0.0808	0.0499	0.8981
 55	 5.20s	165.9187	0.0704	0.0472	0.8993
 56	 5.18s	165.1002	0.0681	0.0473	0.8978
 57	 5.13s	165.3528	0.0733	0.0487	0.8978
 58	 5.19s	165.1116	0.0711	0.0477	0.8982
 59	 5.18s	165.0170	0.0737	0.0482	0.8990
 60	 5.17s	164.6301	0.0710	0.0485	0.8968
 61	 5.18s	165.0813	0.0783	0.0505	0.8988
 62	 5.18s	165.1969	0.0778	0.0490	0.8987
 63	 5.17s	164.5030	0.0718	0.0472	0.8991
 64	 5.17s	165.2366	0.0776	0.0485	0.8990
 65	 5.16s	164.4050	0.0720	0.0472	0.8987
 66	 5.17s	164.3931	0.0682	0.0462	0.9002
 67	 5.18s	164.1576	0.0755	0.0482	0.8983
 68	 5.19s	163.6753	0.0708	0.0468	0.8980
 69	 5.19s	164.5778	0.0725	0.0505	0.8992
 70	 5.15s	163.7925	0.0717	0.0487	0.8973
 71	 5.13s	164.4046	0.0735	0.0491	0.8990
 72	 5.20s	163.3830	0.0755	0.0483	0.8996
 73	 5.18s	163.3329	0.0726	0.0492	0.8988
 74	 5.20s	163.1471	0.0827	0.0509	0.9003
 75	 5.16s	163.1101	0.0727	0.0475	0.8993
 76	 5.13s	162.9158	0.0776	0.0510	0.8991
 77	 5.18s	163.2188	0.0748	0.0486	0.8975
 78	 5.16s	162.6791	0.0796	0.0500	0.8985
 79	 5.14s	162.4659	0.0760	0.0489	0.8995
 80	 5.16s	162.9201	0.0755	0.0489	0.8981
 81	 5.15s	162.7617	0.0772	0.0499	0.8982
