epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 2.79s	2.7010	0.3823	0.2690	0.9428
  2	 2.78s	1.9622	0.3700	0.2509	0.9470
  3	 2.77s	1.8114	0.3553	0.2506	0.9479
  4	 2.78s	1.7468	0.3922	0.2518	0.9477
  5	 2.77s	1.6953	0.3590	0.2419	0.9478
  6	 2.78s	1.6655	0.3914	0.2521	0.9461
  7	 2.79s	1.6158	0.3741	0.2396	0.9477
  8	 2.76s	1.5816	0.3717	0.2358	0.9465
  9	 2.78s	1.5698	0.3616	0.2431	0.9457
 10	 2.76s	1.5413	0.3737	0.2342	0.9472
 11	 2.73s	1.5249	0.3721	0.2338	0.9467
 12	 2.76s	1.5107	0.3883	0.2407	0.9466
 13	 2.79s	1.4936	0.3760	0.2364	0.9453
 14	 2.77s	1.4842	0.3642	0.2372	0.9454
 15	 2.78s	1.4652	0.3612	0.2378	0.9462
 16	 2.76s	1.4643	0.3624	0.2402	0.9461
 17	 2.75s	1.4545	0.3631	0.2296	0.9469
 18	 2.76s	1.4525	0.3620	0.2360	0.9460
 19	 2.80s	1.4488	0.3757	0.2329	0.9471
 20	 2.78s	1.4376	0.3707	0.2353	0.9460
 21	 2.72s	1.4225	0.3825	0.2348	0.9467
 22	 2.76s	1.4124	0.3638	0.2296	0.9468
 23	 2.79s	1.4086	0.3631	0.2331	0.9471
 24	 2.77s	1.4019	0.3689	0.2317	0.9471
 25	 2.76s	1.4054	0.3689	0.2340	0.9456
 26	 2.78s	1.4008	0.3741	0.2336	0.9458
 27	 2.77s	1.3809	0.3639	0.2361	0.9457
 28	 2.76s	1.3885	0.3800	0.2340	0.9463
 29	 2.76s	1.3801	0.3709	0.2344	0.9454
 30	 2.79s	1.3763	0.3742	0.2300	0.9469
 31	 2.73s	1.3730	0.3686	0.2332	0.9462
 32	 2.78s	1.3663	0.3750	0.2314	0.9463
 33	 2.79s	1.3730	0.3852	0.2401	0.9459
 34	 2.77s	1.3660	0.3782	0.2334	0.9449
 35	 2.78s	1.3674	0.3637	0.2355	0.9456
 36	 2.76s	1.3578	0.3809	0.2364	0.9458
 37	 2.76s	1.3666	0.3792	0.2362	0.9448
 38	 2.78s	1.3564	0.3735	0.2379	0.9439
 39	 2.78s	1.3490	0.3969	0.2436	0.9448
 40	 2.77s	1.3567	0.3769	0.2348	0.9452
 41	 2.72s	1.3496	0.3770	0.2344	0.9450
 42	 2.78s	1.3471	0.3692	0.2332	0.9454
 43	 2.76s	1.3430	0.3711	0.2335	0.9446
 44	 2.76s	1.3405	0.3772	0.2381	0.9441
 45	 2.76s	1.3443	0.3687	0.2353	0.9443
 46	 2.79s	1.3449	0.3706	0.2500	0.9434
 47	 2.77s	1.3344	0.3767	0.2374	0.9438
 48	 2.78s	1.3406	0.3764	0.2342	0.9445
 49	 2.76s	1.3472	0.4011	0.2454	0.9451
 50	 2.76s	1.3367	0.3824	0.2400	0.9444
 51	 2.73s	1.3456	0.3861	0.2395	0.9448
 52	 2.75s	1.3345	0.3733	0.2368	0.9437
 53	 2.76s	1.3329	0.3880	0.2380	0.9459
 54	 2.78s	1.3316	0.3710	0.2341	0.9447
 55	 2.76s	1.3235	0.3687	0.2331	0.9456
 56	 2.75s	1.3202	0.3877	0.2396	0.9452
 57	 2.77s	1.3290	0.3707	0.2369	0.9442
 58	 2.77s	1.3239	0.3714	0.2323	0.9443
 59	 2.77s	1.3176	0.3751	0.2382	0.9429
 60	 2.78s	1.3193	0.3871	0.2388	0.9447
 61	 2.73s	1.3263	0.3759	0.2354	0.9440
 62	 2.77s	1.3247	0.3716	0.2381	0.9439
 63	 2.77s	1.3210	0.3703	0.2332	0.9441
 64	 2.77s	1.3182	0.3782	0.2372	0.9427
 65	 2.77s	1.3201	0.3719	0.2365	0.9436
 66	 2.76s	1.3249	0.3784	0.2366	0.9435
 67	 2.77s	1.3195	0.3839	0.2362	0.9433
 68	 2.77s	1.3192	0.3785	0.2396	0.9419
 69	 2.75s	1.3204	0.3868	0.2389	0.9429
 70	 2.79s	1.3161	0.3760	0.2395	0.9423
 71	 2.73s	1.3156	0.3754	0.2340	0.9438
 72	 2.76s	1.3159	0.3748	0.2407	0.9418
 73	 2.77s	1.3117	0.3857	0.2387	0.9432
 74	 2.77s	1.3188	0.3745	0.2424	0.9417
 75	 2.75s	1.3066	0.3766	0.2387	0.9422
 76	 2.75s	1.3098	0.3762	0.2341	0.9446
 77	 2.76s	1.3070	0.3812	0.2399	0.9410
 78	 2.76s	1.3085	0.3741	0.2376	0.9430
