epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	13.59s	3.0641	0.4919	0.3399	0.9076
  2	 3.90s	2.1584	0.4375	0.2985	0.9241
  3	 3.92s	2.0031	0.4394	0.2804	0.9257
  4	 3.91s	1.9249	0.4356	0.2751	0.9279
  5	 3.91s	1.8643	0.4516	0.2864	0.9283
  6	 3.91s	1.8263	0.4301	0.2758	0.9288
  7	 3.88s	1.7807	0.4321	0.2654	0.9300
  8	 3.93s	1.7477	0.4269	0.2630	0.9305
  9	 3.88s	1.7365	0.4250	0.2632	0.9311
 10	 3.88s	1.7195	0.4333	0.2625	0.9312
 11	 3.84s	1.6945	0.4257	0.2698	0.9307
 12	 3.92s	1.6852	0.4254	0.2583	0.9315
 13	 3.89s	1.6650	0.4304	0.2617	0.9310
 14	 3.89s	1.6629	0.4216	0.2587	0.9313
 15	 3.90s	1.6546	0.4326	0.2622	0.9299
 16	 3.91s	1.6504	0.4247	0.2615	0.9306
 17	 3.90s	1.6398	0.4330	0.2615	0.9303
 18	 3.88s	1.6299	0.4288	0.2593	0.9305
 19	 3.91s	1.6299	0.4241	0.2559	0.9306
 20	 3.89s	1.6191	0.4418	0.2706	0.9285
 21	 3.87s	1.6048	0.4266	0.2574	0.9299
 22	 3.87s	1.5963	0.4261	0.2591	0.9303
 23	 3.93s	1.5879	0.4294	0.2563	0.9301
 24	 3.89s	1.5838	0.4288	0.2591	0.9298
 25	 3.88s	1.5838	0.4264	0.2581	0.9298
 26	 3.90s	1.5760	0.4301	0.2594	0.9291
 27	 3.90s	1.5751	0.4270	0.2616	0.9286
 28	 3.90s	1.5704	0.4425	0.2702	0.9286
 29	 3.88s	1.5646	0.4396	0.2624	0.9291
 30	 3.93s	1.5753	0.4403	0.2636	0.9283
 31	 3.89s	1.5494	0.4345	0.2657	0.9269
 32	 3.89s	1.5580	0.4388	0.2674	0.9263
 33	 3.89s	1.5604	0.4327	0.2678	0.9274
 34	 3.93s	1.5498	0.4376	0.2612	0.9282
 35	 3.90s	1.5463	0.4317	0.2600	0.9284
 36	 3.90s	1.5371	0.4351	0.2646	0.9268
 37	 3.88s	1.5359	0.4459	0.2741	0.9256
 38	 3.91s	1.5356	0.4545	0.2777	0.9256
 39	 3.89s	1.5323	0.4336	0.2615	0.9274
 40	 3.89s	1.5269	0.4467	0.2691	0.9274
 41	 3.86s	1.5267	0.4319	0.2629	0.9276
 42	 3.91s	1.5254	0.4462	0.2660	0.9276
 43	 3.90s	1.5152	0.4348	0.2620	0.9274
 44	 3.87s	1.5192	0.4422	0.2698	0.9266
 45	 3.93s	1.5221	0.4388	0.2642	0.9269
 46	 3.88s	1.5060	0.4347	0.2650	0.9268
