epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 7.86s	4.1178	0.6522	0.6240	0.8712
  2	 7.85s	2.5003	0.5385	0.4460	0.8863
  3	 7.89s	2.1183	0.4624	0.3398	0.9130
  4	 7.87s	1.8549	0.4623	0.3454	0.9177
  5	 7.88s	1.7042	0.4214	0.3068	0.9268
  6	 7.89s	1.6582	0.3942	0.2799	0.9365
  7	 7.89s	1.6214	0.4459	0.3209	0.9233
  8	 7.88s	1.5674	0.4167	0.2977	0.9289
  9	 7.86s	1.5367	0.4157	0.3005	0.9310
 10	 7.90s	1.5158	0.4530	0.3297	0.9323
 11	 7.87s	1.5217	0.4580	0.3285	0.9235
 12	 7.91s	1.4811	0.3973	0.2893	0.9377
 13	 7.92s	1.4474	0.4144	0.3137	0.9299
 14	 7.90s	1.4378	0.4068	0.2979	0.9363
 15	 7.89s	1.4228	0.4179	0.3156	0.9296
 16	 7.90s	1.4230	0.3752	0.2654	0.9427
 17	 7.90s	1.4147	0.3986	0.2860	0.9353
 18	 7.90s	1.4023	0.4118	0.3040	0.9323
 19	 7.92s	1.3947	0.3835	0.2786	0.9412
 20	 7.92s	1.3857	0.3717	0.2619	0.9451
 21	 7.88s	1.3761	0.3839	0.2799	0.9416
 22	 7.89s	1.3531	0.4013	0.2941	0.9351
 23	 7.90s	1.3578	0.3919	0.2927	0.9391
 24	 7.91s	1.3546	0.3852	0.2841	0.9401
 25	 7.93s	1.3447	0.3894	0.2810	0.9391
 26	 7.90s	1.3473	0.3729	0.2623	0.9444
 27	 7.89s	1.3287	0.3966	0.2909	0.9382
 28	 7.90s	1.3388	0.4041	0.2935	0.9348
 29	 7.91s	1.3236	0.3956	0.2890	0.9401
 30	 7.92s	1.3106	0.3937	0.2878	0.9363
 31	 7.90s	1.3072	0.3949	0.2842	0.9366
 32	 7.91s	1.3031	0.3948	0.2898	0.9373
 33	 7.87s	1.3015	0.3733	0.2679	0.9440
 34	 7.90s	1.2856	0.3727	0.2575	0.9443
 35	 7.91s	1.2797	0.3971	0.2855	0.9382
 36	 7.91s	1.2860	0.3971	0.2927	0.9387
 37	 7.93s	1.2923	0.3881	0.2857	0.9396
 38	 7.91s	1.2841	0.3753	0.2587	0.9429
 39	 7.93s	1.2823	0.3886	0.2753	0.9392
 40	 7.87s	1.2784	0.3724	0.2702	0.9450
 41	 7.89s	1.2784	0.3982	0.2782	0.9349
 42	 7.90s	1.2728	0.3813	0.2623	0.9429
 43	 7.92s	1.2773	0.3986	0.2871	0.9362
 44	 7.90s	1.2670	0.3948	0.2833	0.9371
 45	 7.92s	1.2597	0.3956	0.2766	0.9393
 46	 7.89s	1.2401	0.3907	0.2708	0.9393
 47	 7.91s	1.2470	0.3716	0.2616	0.9451
 48	 7.92s	1.2523	0.3848	0.2764	0.9410
 49	 7.90s	1.2327	0.4069	0.2761	0.9405
 50	 7.93s	1.2348	0.3830	0.2695	0.9419
 51	 7.89s	1.2385	0.3964	0.2864	0.9374
 52	 7.90s	1.2391	0.3858	0.2696	0.9391
 53	 7.92s	1.2424	0.3923	0.2661	0.9390
 54	 7.90s	1.2334	0.3880	0.2672	0.9387
 55	 7.94s	1.2259	0.3860	0.2623	0.9397
 56	 7.94s	1.2227	0.3851	0.2770	0.9415
 57	 7.93s	1.2169	0.3865	0.2728	0.9400
 58	 7.92s	1.2163	0.3784	0.2618	0.9419
 59	 7.89s	1.2089	0.3876	0.2741	0.9391
 60	 7.89s	1.2159	0.3883	0.2665	0.9412
 61	 7.91s	1.2000	0.3759	0.2569	0.9428
 62	 7.93s	1.2000	0.3827	0.2603	0.9425
 63	 7.92s	1.1949	0.3845	0.2580	0.9426
 64	 7.93s	1.1962	0.3796	0.2633	0.9420
 65	 7.88s	1.1972	0.3748	0.2524	0.9440
 66	 7.91s	1.2198	0.3807	0.2522	0.9447
 67	 7.91s	1.1921	0.3877	0.2599	0.9407
 68	 7.92s	1.1891	0.3708	0.2403	0.9457
 69	 7.91s	1.1880	0.3826	0.2473	0.9435
 70	 7.93s	1.1966	0.3852	0.2561	0.9440
 71	 7.85s	1.1809	0.3795	0.2530	0.9439
 72	 7.89s	1.1992	0.3688	0.2494	0.9453
