epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 3.50s	3.0150	0.4857	0.3340	0.9084
  2	 3.49s	2.3211	0.4661	0.3080	0.9155
  3	 3.49s	2.0784	0.4629	0.3007	0.9188
  4	 3.46s	1.9761	0.4536	0.2906	0.9213
  5	 3.50s	1.9274	0.4493	0.2828	0.9240
  6	 3.49s	1.8722	0.4401	0.2800	0.9256
  7	 3.49s	1.8457	0.4482	0.2793	0.9268
  8	 3.54s	1.8124	0.4378	0.2761	0.9266
  9	 3.48s	1.7915	0.4334	0.2758	0.9280
 10	 3.50s	1.7813	0.4347	0.2697	0.9284
 11	 3.46s	1.7498	0.4326	0.2737	0.9278
 12	 3.51s	1.7364	0.4314	0.2719	0.9292
 13	 3.49s	1.7212	0.4300	0.2685	0.9293
 14	 3.49s	1.7276	0.4291	0.2614	0.9299
 15	 3.50s	1.7048	0.4266	0.2633	0.9304
 16	 3.52s	1.7035	0.4309	0.2636	0.9300
 17	 3.46s	1.6938	0.4327	0.2720	0.9299
 18	 3.52s	1.6886	0.4291	0.2619	0.9303
 19	 3.50s	1.6788	0.4263	0.2607	0.9302
 20	 3.49s	1.6674	0.4286	0.2657	0.9294
 21	 3.46s	1.6802	0.4251	0.2639	0.9303
 22	 3.50s	1.6625	0.4274	0.2653	0.9300
 23	 3.48s	1.6495	0.4270	0.2659	0.9297
 24	 3.51s	1.6520	0.4266	0.2624	0.9300
 25	 3.51s	1.6467	0.4234	0.2596	0.9310
 26	 3.50s	1.6300	0.4220	0.2571	0.9316
 27	 3.51s	1.6225	0.4221	0.2607	0.9311
 28	 3.49s	1.6264	0.4251	0.2640	0.9308
 29	 3.50s	1.6215	0.4267	0.2588	0.9313
 30	 3.49s	1.6152	0.4235	0.2596	0.9316
 31	 3.48s	1.6104	0.4247	0.2629	0.9306
 32	 3.50s	1.6383	0.4317	0.2704	0.9292
 33	 3.50s	1.6082	0.4312	0.2686	0.9292
 34	 3.50s	1.6039	0.4298	0.2671	0.9285
 35	 3.49s	1.6130	0.4315	0.2707	0.9310
 36	 3.49s	1.6045	0.4268	0.2597	0.9316
 37	 3.50s	1.6027	0.4230	0.2574	0.9311
 38	 3.50s	1.5969	0.4275	0.2592	0.9318
 39	 3.50s	1.5879	0.4234	0.2672	0.9312
 40	 3.50s	1.5916	0.4279	0.2614	0.9309
 41	 3.45s	1.5860	0.4310	0.2633	0.9303
 42	 3.48s	1.5867	0.4207	0.2583	0.9317
 43	 3.51s	1.5841	0.4215	0.2548	0.9319
 44	 3.51s	1.5829	0.4282	0.2625	0.9301
 45	 3.48s	1.5741	0.4242	0.2555	0.9312
 46	 3.52s	1.5720	0.4289	0.2645	0.9300
 47	 3.49s	1.5786	0.4243	0.2576	0.9316
 48	 3.50s	1.5689	0.4183	0.2576	0.9320
 49	 3.48s	1.5560	0.4207	0.2554	0.9322
 50	 3.51s	1.5585	0.4277	0.2620	0.9319
 51	 3.47s	1.5649	0.4222	0.2593	0.9311
 52	 3.51s	1.5541	0.4227	0.2554	0.9317
 53	 3.49s	1.5447	0.4203	0.2574	0.9314
 54	 3.50s	1.5546	0.4219	0.2576	0.9310
 55	 3.49s	1.5526	0.4249	0.2643	0.9311
 56	 3.50s	1.5493	0.4230	0.2601	0.9315
 57	 3.48s	1.5451	0.4250	0.2562	0.9318
 58	 3.50s	1.5396	0.4263	0.2581	0.9312
 59	 3.49s	1.5456	0.4228	0.2548	0.9318
 60	 3.48s	1.5461	0.4207	0.2643	0.9313
 61	 3.45s	1.5350	0.4208	0.2602	0.9312
 62	 3.50s	1.5361	0.4235	0.2565	0.9313
 63	 3.49s	1.5248	0.4188	0.2572	0.9319
 64	 3.50s	1.5285	0.4288	0.2574	0.9314
 65	 3.49s	1.5254	0.4225	0.2610	0.9308
 66	 3.48s	1.5257	0.4229	0.2581	0.9312
