epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 0.26s	0.0681	0.1307	0.1063	0.9169
  2	 0.26s	0.0199	0.0862	0.0763	0.9263
  3	 0.25s	0.0165	0.0816	0.0664	0.9296
  4	 0.27s	0.0156	0.0768	0.0635	0.9311
  5	 0.26s	0.0149	0.0833	0.0652	0.9334
  6	 0.26s	0.0154	0.0755	0.0598	0.9343
  7	 0.23s	0.0151	0.0749	0.0627	0.9351
  8	 0.26s	0.0149	0.0764	0.0592	0.9360
  9	 0.26s	0.0148	0.0735	0.0615	0.9364
 10	 0.27s	0.0147	0.0753	0.0584	0.9372
 11	 0.21s	0.0142	0.0725	0.0595	0.9382
 12	 0.26s	0.0140	0.0708	0.0569	0.9397
 13	 0.27s	0.0136	0.0704	0.0557	0.9418
 14	 0.27s	0.0135	0.0693	0.0573	0.9431
 15	 0.26s	0.0134	0.0689	0.0558	0.9441
 16	 0.26s	0.0133	0.0739	0.0577	0.9454
 17	 0.26s	0.0139	0.0698	0.0543	0.9459
 18	 0.26s	0.0130	0.0673	0.0543	0.9467
 19	 0.26s	0.0129	0.0679	0.0529	0.9477
 20	 0.27s	0.0129	0.0663	0.0521	0.9483
 21	 0.21s	0.0128	0.0666	0.0558	0.9491
 22	 0.26s	0.0128	0.0665	0.0522	0.9498
 23	 0.27s	0.0126	0.0639	0.0516	0.9505
 24	 0.24s	0.0123	0.0647	0.0547	0.9514
 25	 0.26s	0.0123	0.0644	0.0504	0.9521
 26	 0.27s	0.0123	0.0649	0.0506	0.9527
 27	 0.27s	0.0120	0.0624	0.0517	0.9533
 28	 0.26s	0.0122	0.0622	0.0501	0.9537
 29	 0.26s	0.0119	0.0649	0.0567	0.9543
 30	 0.26s	0.0124	0.0632	0.0491	0.9549
 31	 0.21s	0.0121	0.0634	0.0494	0.9556
 32	 0.27s	0.0116	0.0640	0.0504	0.9563
 33	 0.27s	0.0122	0.0612	0.0477	0.9567
 34	 0.26s	0.0116	0.0598	0.0495	0.9571
 35	 0.26s	0.0116	0.0594	0.0493	0.9575
 36	 0.25s	0.0115	0.0627	0.0487	0.9578
 37	 0.26s	0.0115	0.0596	0.0467	0.9582
 38	 0.26s	0.0113	0.0582	0.0468	0.9587
 39	 0.26s	0.0112	0.0585	0.0460	0.9591
 40	 0.26s	0.0112	0.0577	0.0474	0.9594
 41	 0.21s	0.0114	0.0575	0.0460	0.9597
 42	 0.25s	0.0116	0.0578	0.0455	0.9598
 43	 0.27s	0.0113	0.0592	0.0468	0.9600
 44	 0.27s	0.0109	0.0569	0.0454	0.9605
 45	 0.25s	0.0109	0.0581	0.0457	0.9609
 46	 0.26s	0.0109	0.0569	0.0450	0.9612
 47	 0.26s	0.0108	0.0570	0.0447	0.9616
 48	 0.26s	0.0107	0.0565	0.0445	0.9618
 49	 0.26s	0.0106	0.0563	0.0443	0.9621
 50	 0.26s	0.0106	0.0570	0.0447	0.9624
 51	 0.21s	0.0107	0.0549	0.0442	0.9627
 52	 0.26s	0.0106	0.0566	0.0445	0.9630
 53	 0.26s	0.0108	0.0546	0.0439	0.9632
 54	 0.26s	0.0106	0.0545	0.0435	0.9634
 55	 0.26s	0.0105	0.0546	0.0452	0.9636
 56	 0.26s	0.0104	0.0542	0.0437	0.9638
 57	 0.26s	0.0103	0.0540	0.0445	0.9639
 58	 0.26s	0.0103	0.0537	0.0433	0.9641
 59	 0.28s	0.0104	0.0566	0.0451	0.9643
 60	 0.27s	0.0105	0.0570	0.0497	0.9646
 61	 0.21s	0.0106	0.0533	0.0435	0.9646
 62	 0.26s	0.0102	0.0540	0.0427	0.9647
 63	 0.26s	0.0108	0.0545	0.0430	0.9648
 64	 0.26s	0.0105	0.0532	0.0428	0.9649
 65	 0.25s	0.0104	0.0559	0.0439	0.9650
 66	 0.27s	0.0104	0.0540	0.0457	0.9651
 67	 0.26s	0.0102	0.0533	0.0446	0.9652
 68	 0.26s	0.0102	0.0525	0.0425	0.9653
 69	 0.25s	0.0103	0.0550	0.0433	0.9653
 70	 0.26s	0.0102	0.0527	0.0431	0.9655
 71	 0.21s	0.0102	0.0524	0.0429	0.9656
 72	 0.25s	0.0101	0.0527	0.0421	0.9656
 73	 0.26s	0.0107	0.0553	0.0437	0.9657
 74	 0.26s	0.0102	0.0525	0.0435	0.9658
 75	 0.26s	0.0100	0.0530	0.0420	0.9658
 76	 0.26s	0.0101	0.0523	0.0426	0.9659
 77	 0.25s	0.0101	0.0522	0.0420	0.9660
 78	 0.25s	0.0106	0.0533	0.0424	0.9660
 79	 0.26s	0.0101	0.0605	0.0491	0.9660
 80	 0.26s	0.0106	0.0525	0.0418	0.9661
 81	 0.21s	0.0099	0.0528	0.0418	0.9661
 82	 0.26s	0.0099	0.0517	0.0413	0.9662
 83	 0.25s	0.0102	0.0528	0.0452	0.9663
 84	 0.26s	0.0101	0.0518	0.0414	0.9663
 85	 0.26s	0.0099	0.0518	0.0418	0.9664
 86	 0.26s	0.0100	0.0521	0.0416	0.9664
 87	 0.27s	0.0100	0.0514	0.0414	0.9665
 88	 0.25s	0.0100	0.0537	0.0426	0.9665
 89	 0.26s	0.0100	0.0517	0.0428	0.9666
 90	 0.26s	0.0100	0.0513	0.0414	0.9666
 91	 0.21s	0.0098	0.0511	0.0415	0.9666
 92	 0.25s	0.0101	0.0519	0.0412	0.9667
 93	 0.26s	0.0097	0.0518	0.0417	0.9667
 94	 0.26s	0.0101	0.0515	0.0425	0.9667
 95	 0.26s	0.0099	0.0513	0.0423	0.9668
 96	 0.25s	0.0100	0.0519	0.0413	0.9668
 97	 0.26s	0.0100	0.0513	0.0410	0.9668
 98	 0.25s	0.0100	0.0513	0.0426	0.9668
 99	 0.25s	0.0099	0.0511	0.0411	0.9668
100	 0.26s	0.0100	0.0509	0.0418	0.9669
101	 0.21s	0.0098	0.0509	0.0410	0.9669
102	 0.26s	0.0101	0.0510	0.0421	0.9669
103	 0.25s	0.0107	0.0508	0.0418	0.9669
104	 0.24s	0.0098	0.0507	0.0413	0.9669
105	 0.25s	0.0099	0.0524	0.0416	0.9669
106	 0.24s	0.0098	0.0554	0.0445	0.9669
107	 0.26s	0.0103	0.0512	0.0409	0.9670
108	 0.25s	0.0099	0.0507	0.0408	0.9670
109	 0.25s	0.0097	0.0517	0.0411	0.9670
110	 0.25s	0.0098	0.0507	0.0413	0.9670
111	 0.21s	0.0100	0.0509	0.0416	0.9670
112	 0.25s	0.0099	0.0512	0.0408	0.9670
113	 0.25s	0.0100	0.0516	0.0411	0.9670
114	 0.25s	0.0099	0.0517	0.0412	0.9670
115	 0.25s	0.0104	0.0507	0.0413	0.9671
116	 0.25s	0.0098	0.0507	0.0410	0.9671
117	 0.25s	0.0098	0.0509	0.0419	0.9671
118	 0.25s	0.0098	0.0503	0.0410	0.9671
119	 0.25s	0.0098	0.0511	0.0410	0.9672
120	 0.25s	0.0102	0.0512	0.0408	0.9672
121	 0.21s	0.0103	0.0506	0.0410	0.9672
122	 0.26s	0.0104	0.0511	0.0408	0.9672
123	 0.25s	0.0104	0.0505	0.0414	0.9672
124	 0.26s	0.0103	0.0509	0.0407	0.9672
125	 0.25s	0.0104	0.0505	0.0413	0.9672
126	 0.26s	0.0103	0.0503	0.0412	0.9672
127	 0.25s	0.0096	0.0511	0.0430	0.9672
128	 0.25s	0.0101	0.0506	0.0409	0.9672
129	 0.25s	0.0097	0.0504	0.0410	0.9672
130	 0.24s	0.0097	0.0508	0.0414	0.9672
131	 0.21s	0.0097	0.0503	0.0409	0.9672
132	 0.24s	0.0098	0.0522	0.0415	0.9672
133	 0.26s	0.0102	0.0538	0.0429	0.9672
134	 0.24s	0.0101	0.0507	0.0424	0.9673
135	 0.25s	0.0099	0.0517	0.0412	0.9673
136	 0.25s	0.0100	0.0506	0.0420	0.9673
137	 0.24s	0.0099	0.0504	0.0415	0.9673
138	 0.25s	0.0098	0.0520	0.0414	0.9673
139	 0.25s	0.0101	0.0507	0.0407	0.9673
140	 0.25s	0.0100	0.0508	0.0425	0.9673
141	 0.21s	0.0103	0.0506	0.0418	0.9673
142	 0.25s	0.0098	0.0516	0.0411	0.9673
143	 0.24s	0.0099	0.0530	0.0420	0.9673
144	 0.25s	0.0097	0.0504	0.0416	0.9673
145	 0.24s	0.0103	0.0506	0.0424	0.9673
146	 0.24s	0.0098	0.0502	0.0408	0.9673
147	 0.24s	0.0100	0.0505	0.0406	0.9673
148	 0.24s	0.0099	0.0521	0.0414	0.9673
