epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 0.40s	0.1163	0.1682	0.1790	0.8257
  2	 0.39s	0.0318	0.0706	0.0643	0.9154
  3	 0.40s	0.0213	0.0671	0.0557	0.9482
  4	 0.39s	0.0175	0.0753	0.0601	0.9511
  5	 0.40s	0.0153	0.0691	0.0555	0.9523
  6	 0.39s	0.0142	0.0657	0.0526	0.9524
  7	 0.41s	0.0133	0.0779	0.0611	0.9531
  8	 0.39s	0.0139	0.0625	0.0499	0.9539
  9	 0.39s	0.0130	0.0650	0.0518	0.9546
 10	 0.41s	0.0127	0.0640	0.0512	0.9548
 11	 0.35s	0.0125	0.0623	0.0504	0.9554
 12	 0.39s	0.0123	0.0618	0.0516	0.9562
 13	 0.39s	0.0119	0.0600	0.0488	0.9561
 14	 0.39s	0.0118	0.0668	0.0527	0.9560
 15	 0.40s	0.0124	0.0738	0.0583	0.9571
 16	 0.40s	0.0123	0.0732	0.0595	0.9575
 17	 0.41s	0.0116	0.0593	0.0492	0.9581
 18	 0.40s	0.0123	0.0616	0.0479	0.9580
 19	 0.39s	0.0120	0.0593	0.0467	0.9577
 20	 0.39s	0.0115	0.0594	0.0471	0.9588
 21	 0.37s	0.0118	0.0663	0.0529	0.9585
 22	 0.39s	0.0117	0.0623	0.0490	0.9585
 23	 0.40s	0.0112	0.0587	0.0471	0.9590
 24	 0.38s	0.0112	0.0588	0.0468	0.9596
 25	 0.40s	0.0113	0.0610	0.0485	0.9595
 26	 0.39s	0.0117	0.0586	0.0478	0.9596
 27	 0.39s	0.0111	0.0587	0.0491	0.9607
 28	 0.39s	0.0113	0.0605	0.0478	0.9604
 29	 0.39s	0.0112	0.0565	0.0458	0.9608
 30	 0.39s	0.0110	0.0565	0.0456	0.9609
 31	 0.35s	0.0110	0.0600	0.0471	0.9608
 32	 0.39s	0.0113	0.0582	0.0459	0.9611
 33	 0.41s	0.0110	0.0570	0.0484	0.9609
 34	 0.39s	0.0114	0.0568	0.0456	0.9611
 35	 0.40s	0.0108	0.0556	0.0450	0.9615
 36	 0.39s	0.0111	0.0674	0.0541	0.9614
 37	 0.39s	0.0126	0.0621	0.0487	0.9612
 38	 0.39s	0.0110	0.0571	0.0469	0.9616
 39	 0.40s	0.0110	0.0554	0.0456	0.9617
 40	 0.39s	0.0108	0.0577	0.0457	0.9618
 41	 0.35s	0.0108	0.0551	0.0452	0.9615
 42	 0.39s	0.0108	0.0670	0.0536	0.9621
 43	 0.40s	0.0121	0.0580	0.0476	0.9619
 44	 0.40s	0.0114	0.0574	0.0456	0.9616
 45	 0.39s	0.0106	0.0556	0.0446	0.9623
 46	 0.40s	0.0108	0.0569	0.0486	0.9621
 47	 0.39s	0.0108	0.0573	0.0452	0.9624
 48	 0.40s	0.0110	0.0571	0.0486	0.9619
