epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 0.78s	0.0526	0.0756	0.0632	0.9480
  2	 0.79s	0.0215	0.0701	0.0553	0.9496
  3	 0.79s	0.0174	0.0679	0.0532	0.9502
  4	 0.79s	0.0162	0.0656	0.0539	0.9506
  5	 0.79s	0.0156	0.0652	0.0523	0.9509
  6	 0.79s	0.0147	0.0642	0.0507	0.9513
  7	 0.79s	0.0141	0.0641	0.0503	0.9519
  8	 0.80s	0.0136	0.0633	0.0499	0.9524
  9	 0.80s	0.0137	0.0644	0.0505	0.9528
 10	 0.79s	0.0131	0.0624	0.0497	0.9531
 11	 0.75s	0.0136	0.0648	0.0504	0.9533
 12	 0.80s	0.0129	0.0617	0.0489	0.9536
 13	 0.79s	0.0126	0.0639	0.0542	0.9539
 14	 0.79s	0.0129	0.0614	0.0484	0.9542
 15	 0.79s	0.0121	0.0618	0.0484	0.9546
 16	 0.80s	0.0124	0.0654	0.0578	0.9549
 17	 0.79s	0.0122	0.0618	0.0484	0.9552
 18	 0.79s	0.0120	0.0601	0.0488	0.9557
 19	 0.78s	0.0118	0.0624	0.0484	0.9559
 20	 0.79s	0.0119	0.0599	0.0492	0.9563
 21	 0.76s	0.0117	0.0615	0.0482	0.9565
 22	 0.79s	0.0118	0.0590	0.0485	0.9567
 23	 0.79s	0.0116	0.0594	0.0469	0.9571
 24	 0.79s	0.0114	0.0586	0.0471	0.9574
 25	 0.79s	0.0114	0.0593	0.0463	0.9578
 26	 0.81s	0.0113	0.0590	0.0499	0.9579
 27	 0.78s	0.0114	0.0580	0.0468	0.9580
 28	 0.79s	0.0112	0.0586	0.0489	0.9583
 29	 0.78s	0.0111	0.0603	0.0523	0.9586
 30	 0.79s	0.0114	0.0599	0.0521	0.9589
 31	 0.76s	0.0116	0.0576	0.0477	0.9590
 32	 0.78s	0.0110	0.0580	0.0457	0.9591
 33	 0.79s	0.0113	0.0591	0.0506	0.9593
 34	 0.79s	0.0110	0.0567	0.0455	0.9595
 35	 0.78s	0.0109	0.0570	0.0451	0.9598
 36	 0.79s	0.0108	0.0564	0.0454	0.9600
 37	 0.77s	0.0111	0.0573	0.0450	0.9601
 38	 0.79s	0.0115	0.0571	0.0449	0.9602
 39	 0.79s	0.0108	0.0566	0.0451	0.9603
 40	 0.79s	0.0108	0.0560	0.0451	0.9605
 41	 0.76s	0.0110	0.0572	0.0449	0.9606
 42	 0.79s	0.0108	0.0565	0.0446	0.9606
 43	 0.78s	0.0106	0.0560	0.0452	0.9608
 44	 0.78s	0.0106	0.0558	0.0453	0.9610
 45	 0.78s	0.0108	0.0558	0.0444	0.9611
 46	 0.78s	0.0107	0.0553	0.0445	0.9612
 47	 0.79s	0.0105	0.0560	0.0443	0.9613
 48	 0.80s	0.0107	0.0585	0.0458	0.9617
 49	 0.80s	0.0113	0.0584	0.0460	0.9615
 50	 0.78s	0.0115	0.0554	0.0458	0.9617
 51	 0.76s	0.0105	0.0546	0.0439	0.9618
 52	 0.79s	0.0106	0.0552	0.0440	0.9620
 53	 0.80s	0.0109	0.0580	0.0457	0.9619
 54	 0.79s	0.0109	0.0551	0.0439	0.9621
 55	 0.78s	0.0114	0.0556	0.0471	0.9622
 56	 0.78s	0.0107	0.0546	0.0440	0.9622
 57	 0.79s	0.0104	0.0567	0.0444	0.9623
 58	 0.79s	0.0103	0.0543	0.0435	0.9624
 59	 0.79s	0.0112	0.0541	0.0439	0.9625
 60	 0.79s	0.0104	0.0555	0.0439	0.9626
 61	 0.75s	0.0106	0.0541	0.0439	0.9627
 62	 0.77s	0.0106	0.0564	0.0443	0.9628
 63	 0.79s	0.0111	0.0543	0.0438	0.9628
 64	 0.78s	0.0110	0.0548	0.0435	0.9628
 65	 0.78s	0.0106	0.0550	0.0435	0.9629
 66	 0.79s	0.0106	0.0550	0.0466	0.9630
 67	 0.78s	0.0110	0.0553	0.0440	0.9629
 68	 0.78s	0.0107	0.0590	0.0468	0.9631
 69	 0.78s	0.0112	0.0544	0.0433	0.9630
 70	 0.80s	0.0104	0.0539	0.0431	0.9631
 71	 0.76s	0.0106	0.0538	0.0434	0.9631
 72	 0.79s	0.0105	0.0546	0.0438	0.9632
 73	 0.80s	0.0105	0.0541	0.0442	0.9632
 74	 0.79s	0.0103	0.0539	0.0441	0.9634
 75	 0.80s	0.0103	0.0603	0.0480	0.9633
 76	 0.78s	0.0117	0.0557	0.0439	0.9633
 77	 0.80s	0.0110	0.0537	0.0445	0.9634
 78	 0.79s	0.0106	0.0576	0.0454	0.9634
 79	 0.79s	0.0102	0.0561	0.0442	0.9635
 80	 0.80s	0.0102	0.0636	0.0522	0.9637
 81	 0.75s	0.0108	0.0549	0.0470	0.9637
 82	 0.80s	0.0110	0.0543	0.0434	0.9636
 83	 0.80s	0.0102	0.0557	0.0445	0.9637
 84	 0.78s	0.0104	0.0535	0.0435	0.9637
 85	 0.78s	0.0108	0.0530	0.0431	0.9638
 86	 0.77s	0.0104	0.0533	0.0432	0.9638
 87	 0.79s	0.0103	0.0586	0.0459	0.9639
 88	 0.77s	0.0105	0.0528	0.0427	0.9639
 89	 0.78s	0.0104	0.0536	0.0438	0.9640
 90	 0.80s	0.0101	0.0538	0.0428	0.9640
 91	 0.76s	0.0103	0.0583	0.0458	0.9639
 92	 0.80s	0.0103	0.0530	0.0440	0.9640
 93	 0.78s	0.0103	0.0568	0.0445	0.9640
 94	 0.77s	0.0103	0.0555	0.0438	0.9640
 95	 0.79s	0.0102	0.0531	0.0438	0.9640
 96	 0.79s	0.0101	0.0577	0.0454	0.9640
 97	 0.79s	0.0103	0.0575	0.0452	0.9640
 98	 0.80s	0.0104	0.0556	0.0459	0.9636
 99	 0.78s	0.0105	0.0585	0.0471	0.9639
100	 0.79s	0.0105	0.0568	0.0446	0.9641
101	 0.76s	0.0100	0.0540	0.0432	0.9643
102	 0.79s	0.0105	0.0580	0.0455	0.9642
103	 0.78s	0.0101	0.0531	0.0432	0.9642
104	 0.79s	0.0106	0.0570	0.0449	0.9643
105	 0.78s	0.0103	0.0554	0.0438	0.9643
106	 0.78s	0.0103	0.0566	0.0449	0.9642
107	 0.79s	0.0110	0.0595	0.0472	0.9642
108	 0.78s	0.0102	0.0531	0.0426	0.9644
109	 0.79s	0.0101	0.0526	0.0443	0.9644
110	 0.78s	0.0100	0.0582	0.0461	0.9644
111	 0.76s	0.0102	0.0646	0.0521	0.9644
112	 0.79s	0.0103	0.0542	0.0430	0.9645
113	 0.78s	0.0101	0.0556	0.0440	0.9645
114	 0.77s	0.0111	0.0534	0.0434	0.9645
115	 0.79s	0.0102	0.0525	0.0427	0.9646
116	 0.77s	0.0105	0.0523	0.0430	0.9644
117	 0.78s	0.0108	0.0584	0.0462	0.9645
118	 0.79s	0.0106	0.0529	0.0437	0.9646
119	 0.79s	0.0102	0.0557	0.0450	0.9646
120	 0.77s	0.0100	0.0561	0.0442	0.9646
121	 0.75s	0.0106	0.0560	0.0446	0.9645
122	 0.78s	0.0106	0.0554	0.0439	0.9647
123	 0.78s	0.0105	0.0744	0.0623	0.9647
124	 0.78s	0.0106	0.0585	0.0463	0.9647
125	 0.78s	0.0100	0.0581	0.0463	0.9647
