epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 0.37s	0.2466	0.2221	0.1889	0.9210
  2	 0.35s	0.0457	0.0980	0.0764	0.9557
  3	 0.34s	0.0195	0.0649	0.0567	0.9610
  4	 0.35s	0.0144	0.0635	0.0534	0.9609
  5	 0.35s	0.0126	0.0594	0.0493	0.9607
  6	 0.35s	0.0127	0.0588	0.0506	0.9606
  7	 0.35s	0.0120	0.0568	0.0466	0.9613
  8	 0.35s	0.0113	0.0591	0.0477	0.9620
  9	 0.37s	0.0114	0.0553	0.0459	0.9627
 10	 0.36s	0.0109	0.0575	0.0462	0.9633
 11	 0.30s	0.0106	0.0596	0.0489	0.9638
 12	 0.36s	0.0109	0.0551	0.0464	0.9641
 13	 0.35s	0.0106	0.0628	0.0522	0.9644
 14	 0.36s	0.0108	0.0528	0.0442	0.9647
 15	 0.34s	0.0109	0.0539	0.0434	0.9648
 16	 0.36s	0.0106	0.0533	0.0431	0.9648
 17	 0.35s	0.0105	0.0616	0.0504	0.9649
 18	 0.34s	0.0106	0.0566	0.0468	0.9651
 19	 0.36s	0.0105	0.0550	0.0460	0.9653
 20	 0.35s	0.0115	0.0553	0.0446	0.9654
 21	 0.31s	0.0102	0.0530	0.0427	0.9655
 22	 0.35s	0.0102	0.0553	0.0448	0.9656
 23	 0.35s	0.0104	0.0571	0.0458	0.9657
 24	 0.35s	0.0105	0.0643	0.0536	0.9657
 25	 0.35s	0.0104	0.0528	0.0429	0.9658
 26	 0.35s	0.0103	0.0684	0.0581	0.9658
 27	 0.35s	0.0109	0.0657	0.0549	0.9658
 28	 0.35s	0.0107	0.0601	0.0492	0.9658
 29	 0.35s	0.0102	0.0576	0.0466	0.9658
 30	 0.35s	0.0101	0.0616	0.0512	0.9659
 31	 0.30s	0.0104	0.0620	0.0514	0.9660
 32	 0.35s	0.0102	0.0540	0.0433	0.9659
 33	 0.36s	0.0104	0.0555	0.0447	0.9660
 34	 0.36s	0.0101	0.0521	0.0422	0.9661
 35	 0.34s	0.0103	0.0638	0.0527	0.9661
 36	 0.35s	0.0105	0.0611	0.0502	0.9661
 37	 0.35s	0.0107	0.0706	0.0608	0.9662
 38	 0.35s	0.0106	0.0552	0.0456	0.9662
 39	 0.36s	0.0102	0.0555	0.0451	0.9662
 40	 0.36s	0.0099	0.0621	0.0507	0.9662
 41	 0.30s	0.0099	0.0561	0.0455	0.9662
 42	 0.35s	0.0100	0.0567	0.0461	0.9662
 43	 0.35s	0.0100	0.0582	0.0471	0.9663
 44	 0.35s	0.0101	0.0641	0.0539	0.9663
 45	 0.35s	0.0100	0.0611	0.0502	0.9664
 46	 0.35s	0.0098	0.0589	0.0484	0.9665
 47	 0.37s	0.0103	0.0604	0.0490	0.9666
 48	 0.35s	0.0098	0.0572	0.0466	0.9665
 49	 0.36s	0.0098	0.0525	0.0428	0.9666
 50	 0.35s	0.0099	0.0609	0.0501	0.9666
 51	 0.30s	0.0098	0.0549	0.0447	0.9666
 52	 0.35s	0.0099	0.0590	0.0477	0.9666
 53	 0.35s	0.0099	0.0519	0.0422	0.9666
 54	 0.35s	0.0101	0.0635	0.0522	0.9666
 55	 0.35s	0.0102	0.0527	0.0429	0.9666
 56	 0.35s	0.0102	0.0631	0.0519	0.9666
 57	 0.34s	0.0100	0.0596	0.0486	0.9666
 58	 0.35s	0.0100	0.0535	0.0435	0.9667
 59	 0.35s	0.0101	0.0615	0.0505	0.9667
 60	 0.35s	0.0100	0.0551	0.0447	0.9666
 61	 0.30s	0.0104	0.0534	0.0431	0.9668
 62	 0.35s	0.0101	0.0589	0.0479	0.9668
 63	 0.35s	0.0098	0.0625	0.0509	0.9668
 64	 0.34s	0.0099	0.0541	0.0437	0.9669
 65	 0.34s	0.0100	0.0627	0.0515	0.9668
 66	 0.35s	0.0100	0.0591	0.0480	0.9668
 67	 0.34s	0.0100	0.0540	0.0439	0.9668
 68	 0.34s	0.0097	0.0578	0.0468	0.9668
 69	 0.34s	0.0099	0.0533	0.0432	0.9669
 70	 0.35s	0.0100	0.0722	0.0618	0.9668
 71	 0.30s	0.0099	0.0706	0.0591	0.9668
 72	 0.35s	0.0107	0.0518	0.0431	0.9669
 73	 0.34s	0.0113	0.0650	0.0542	0.9668
 74	 0.34s	0.0101	0.0552	0.0449	0.9669
 75	 0.34s	0.0104	0.0621	0.0508	0.9669
 76	 0.35s	0.0097	0.0556	0.0448	0.9669
 77	 0.35s	0.0097	0.0638	0.0525	0.9670
 78	 0.35s	0.0096	0.0679	0.0572	0.9669
 79	 0.34s	0.0101	0.0597	0.0486	0.9670
 80	 0.35s	0.0098	0.0636	0.0517	0.9670
 81	 0.30s	0.0096	0.0578	0.0474	0.9670
 82	 0.34s	0.0096	0.0571	0.0460	0.9670
 83	 0.34s	0.0098	0.0584	0.0478	0.9671
 84	 0.35s	0.0098	0.0535	0.0434	0.9671
 85	 0.35s	0.0099	0.0604	0.0491	0.9671
 86	 0.34s	0.0097	0.0627	0.0509	0.9673
 87	 0.34s	0.0097	0.0624	0.0511	0.9673
 88	 0.34s	0.0095	0.0663	0.0555	0.9673
 89	 0.33s	0.0101	0.0676	0.0567	0.9672
 90	 0.34s	0.0100	0.0546	0.0445	0.9672
 91	 0.30s	0.0099	0.0633	0.0518	0.9672
 92	 0.35s	0.0105	0.0588	0.0482	0.9672
 93	 0.34s	0.0096	0.0578	0.0470	0.9673
 94	 0.34s	0.0099	0.0542	0.0440	0.9672
 95	 0.36s	0.0098	0.0608	0.0496	0.9672
 96	 0.34s	0.0097	0.0662	0.0551	0.9672
 97	 0.35s	0.0099	0.0647	0.0539	0.9672
 98	 0.35s	0.0098	0.0574	0.0469	0.9673
 99	 0.35s	0.0096	0.0619	0.0505	0.9673
100	 0.33s	0.0095	0.0620	0.0513	0.9673
101	 0.31s	0.0095	0.0633	0.0521	0.9672
102	 0.34s	0.0099	0.0612	0.0500	0.9672
103	 0.35s	0.0098	0.0582	0.0471	0.9673
104	 0.35s	0.0099	0.0525	0.0432	0.9674
105	 0.35s	0.0104	0.0721	0.0611	0.9674
106	 0.34s	0.0105	0.0520	0.0430	0.9673
107	 0.34s	0.0104	0.0685	0.0573	0.9673
108	 0.34s	0.0103	0.0516	0.0428	0.9673
109	 0.34s	0.0103	0.0723	0.0608	0.9672
110	 0.34s	0.0103	0.0519	0.0431	0.9672
111	 0.30s	0.0101	0.0568	0.0460	0.9672
112	 0.33s	0.0096	0.0642	0.0527	0.9673
113	 0.34s	0.0096	0.0609	0.0495	0.9673
114	 0.34s	0.0100	0.0579	0.0470	0.9673
115	 0.34s	0.0096	0.0652	0.0543	0.9674
116	 0.34s	0.0098	0.0541	0.0441	0.9673
117	 0.34s	0.0106	0.0741	0.0621	0.9672
