epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 3.45s	0.0392	0.7360	0.5625	0.7445
  2	 3.37s	0.0191	0.6419	0.5002	0.8120
  3	 3.36s	0.0165	0.5445	0.3954	0.8267
  4	 3.34s	0.0154	0.5419	0.3782	0.8381
  5	 3.37s	0.0146	0.5266	0.3677	0.8417
  6	 3.39s	0.0141	0.5166	0.3684	0.8464
  7	 3.36s	0.0137	0.5160	0.3544	0.8488
  8	 3.36s	0.0132	0.5220	0.3606	0.8524
  9	 3.37s	0.0131	0.5078	0.3415	0.8548
 10	 3.35s	0.0128	0.5241	0.3658	0.8533
 11	 3.33s	0.0126	0.4937	0.3350	0.8589
 12	 3.36s	0.0125	0.4995	0.3377	0.8589
 13	 3.36s	0.0123	0.4960	0.3305	0.8607
 14	 3.38s	0.0122	0.4982	0.3307	0.8622
 15	 3.37s	0.0121	0.5079	0.3464	0.8616
 16	 3.37s	0.0119	0.4931	0.3268	0.8622
 17	 3.35s	0.0118	0.5185	0.3548	0.8628
 18	 3.38s	0.0117	0.4902	0.3316	0.8607
 19	 3.35s	0.0116	0.4844	0.3243	0.8635
 20	 3.35s	0.0114	0.4866	0.3259	0.8639
 21	 3.33s	0.0114	0.5045	0.3426	0.8634
 22	 3.36s	0.0112	0.4915	0.3268	0.8658
 23	 3.37s	0.0111	0.4821	0.3225	0.8639
 24	 3.36s	0.0111	0.4763	0.3189	0.8661
 25	 3.36s	0.0110	0.4785	0.3150	0.8665
 26	 3.38s	0.0109	0.4885	0.3219	0.8635
 27	 3.36s	0.0108	0.4875	0.3255	0.8660
 28	 3.35s	0.0107	0.4911	0.3248	0.8655
 29	 3.36s	0.0107	0.4835	0.3168	0.8673
 30	 3.36s	0.0106	0.4737	0.3177	0.8675
 31	 3.32s	0.0105	0.4823	0.3229	0.8695
 32	 3.36s	0.0104	0.4809	0.3161	0.8677
 33	 3.36s	0.0104	0.4819	0.3153	0.8695
 34	 3.36s	0.0104	0.4801	0.3146	0.8697
 35	 3.37s	0.0103	0.4811	0.3144	0.8687
 36	 3.36s	0.0102	0.4810	0.3157	0.8703
 37	 3.36s	0.0102	0.4767	0.3125	0.8681
 38	 3.36s	0.0101	0.4691	0.3042	0.8714
 39	 3.36s	0.0100	0.4831	0.3213	0.8695
