epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 4.12s	0.0338	0.6469	0.4903	0.7745
  2	 4.09s	0.0164	0.5437	0.3868	0.8256
  3	 4.11s	0.0143	0.5069	0.3604	0.8450
  4	 4.11s	0.0132	0.5008	0.3477	0.8540
  5	 4.11s	0.0127	0.4858	0.3353	0.8588
  6	 4.11s	0.0121	0.4912	0.3376	0.8593
  7	 4.13s	0.0116	0.4886	0.3348	0.8622
  8	 4.12s	0.0114	0.4745	0.3163	0.8652
  9	 4.11s	0.0111	0.4965	0.3437	0.8645
 10	 4.12s	0.0109	0.4845	0.3218	0.8685
 11	 4.09s	0.0107	0.4803	0.3212	0.8687
 12	 4.14s	0.0107	0.4753	0.3136	0.8687
 13	 4.13s	0.0104	0.4718	0.3133	0.8690
 14	 4.11s	0.0104	0.4721	0.3143	0.8706
 15	 4.12s	0.0102	0.4759	0.3231	0.8729
 16	 4.13s	0.0102	0.4707	0.3100	0.8720
 17	 4.12s	0.0101	0.4669	0.3042	0.8733
 18	 4.12s	0.0100	0.4692	0.3096	0.8737
 19	 4.12s	0.0100	0.4705	0.3090	0.8746
 20	 4.13s	0.0099	0.4659	0.3039	0.8743
 21	 4.10s	0.0098	0.4687	0.3034	0.8735
 22	 4.12s	0.0097	0.4589	0.2954	0.8756
 23	 4.12s	0.0097	0.4638	0.3036	0.8752
 24	 4.12s	0.0096	0.4581	0.2965	0.8763
 25	 4.12s	0.0096	0.4612	0.2962	0.8744
 26	 4.13s	0.0096	0.4558	0.2905	0.8775
 27	 4.12s	0.0096	0.4719	0.3075	0.8748
 28	 4.13s	0.0095	0.4732	0.3110	0.8707
 29	 4.13s	0.0094	0.4607	0.2968	0.8748
 30	 4.12s	0.0094	0.4638	0.3016	0.8754
 31	 4.10s	0.0094	0.4583	0.2943	0.8767
 32	 4.12s	0.0093	0.4618	0.2989	0.8765
 33	 4.14s	0.0093	0.4581	0.2943	0.8771
 34	 4.13s	0.0093	0.4617	0.2928	0.8745
 35	 4.13s	0.0093	0.4554	0.2907	0.8766
 36	 4.12s	0.0093	0.4613	0.2970	0.8786
 37	 4.13s	0.0092	0.4649	0.3024	0.8788
 38	 4.12s	0.0092	0.4630	0.3003	0.8787
 39	 4.13s	0.0092	0.4571	0.2929	0.8779
 40	 4.12s	0.0091	0.4554	0.2896	0.8779
 41	 4.10s	0.0091	0.4555	0.2900	0.8789
 42	 4.14s	0.0091	0.4518	0.2878	0.8784
 43	 4.12s	0.0091	0.4574	0.2929	0.8770
 44	 4.13s	0.0091	0.4697	0.3099	0.8738
 45	 4.12s	0.0090	0.4511	0.2842	0.8796
 46	 4.13s	0.0090	0.4612	0.2923	0.8772
 47	 4.14s	0.0090	0.4591	0.2981	0.8775
 48	 4.13s	0.0090	0.4574	0.2931	0.8784
 49	 4.13s	0.0089	0.4530	0.2860	0.8791
 50	 4.13s	0.0089	0.4576	0.2943	0.8792
 51	 4.10s	0.0089	0.4606	0.2993	0.8752
 52	 4.13s	0.0089	0.4543	0.2892	0.8782
 53	 4.13s	0.0088	0.4565	0.2884	0.8779
 54	 4.12s	0.0089	0.4548	0.2910	0.8793
