epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 6.40s	0.0438	0.8784	0.7534	0.6234
  2	 6.39s	0.0222	0.7266	0.5537	0.7287
  3	 6.41s	0.0194	0.5935	0.4593	0.7800
  4	 6.41s	0.0177	0.5746	0.4312	0.8061
  5	 6.40s	0.0168	0.5546	0.4111	0.8165
  6	 6.40s	0.0160	0.5402	0.4026	0.8226
  7	 6.42s	0.0154	0.5398	0.3966	0.8295
  8	 6.42s	0.0151	0.5393	0.4026	0.8280
  9	 6.43s	0.0148	0.5351	0.3994	0.8265
 10	 6.42s	0.0145	0.5258	0.3807	0.8360
 11	 6.40s	0.0144	0.5278	0.3904	0.8334
 12	 6.41s	0.0141	0.5397	0.3911	0.8288
 13	 6.41s	0.0140	0.5198	0.3772	0.8400
 14	 6.43s	0.0138	0.5185	0.3814	0.8340
 15	 6.42s	0.0135	0.5098	0.3640	0.8417
 16	 6.42s	0.0134	0.5167	0.3900	0.8368
 17	 6.41s	0.0135	0.5017	0.3575	0.8476
 18	 6.41s	0.0131	0.5123	0.3638	0.8471
 19	 6.44s	0.0130	0.5104	0.3664	0.8444
 20	 6.44s	0.0130	0.4992	0.3534	0.8491
 21	 6.42s	0.0129	0.5020	0.3578	0.8477
 22	 6.44s	0.0128	0.5021	0.3568	0.8495
 23	 6.44s	0.0127	0.5062	0.3670	0.8473
 24	 6.45s	0.0126	0.4966	0.3516	0.8507
 25	 6.41s	0.0124	0.5136	0.3805	0.8423
 26	 6.43s	0.0123	0.4931	0.3478	0.8525
 27	 6.41s	0.0122	0.5061	0.3609	0.8489
 28	 6.43s	0.0120	0.4951	0.3459	0.8531
 29	 6.44s	0.0119	0.5173	0.3751	0.8483
 30	 6.41s	0.0119	0.5020	0.3572	0.8484
 31	 6.41s	0.0116	0.4998	0.3545	0.8521
 32	 6.44s	0.0116	0.4943	0.3430	0.8548
 33	 6.43s	0.0115	0.5001	0.3509	0.8577
 34	 6.46s	0.0114	0.4990	0.3496	0.8532
 35	 6.44s	0.0112	0.4869	0.3321	0.8563
 36	 6.42s	0.0111	0.4963	0.3464	0.8566
 37	 6.45s	0.0111	0.4913	0.3392	0.8591
 38	 6.44s	0.0109	0.4957	0.3450	0.8563
 39	 6.45s	0.0109	0.4958	0.3441	0.8553
 40	 6.45s	0.0109	0.4922	0.3415	0.8565
 41	 6.42s	0.0108	0.4873	0.3387	0.8607
 42	 6.46s	0.0107	0.4869	0.3304	0.8584
 43	 6.45s	0.0107	0.5179	0.3745	0.8485
 44	 6.44s	0.0106	0.4813	0.3266	0.8611
 45	 6.43s	0.0105	0.4848	0.3273	0.8587
 46	 6.45s	0.0105	0.4874	0.3372	0.8583
 47	 6.45s	0.0105	0.4890	0.3353	0.8553
 48	 6.45s	0.0103	0.4905	0.3429	0.8618
 49	 6.45s	0.0103	0.4816	0.3237	0.8624
 50	 6.44s	0.0104	0.4849	0.3325	0.8565
 51	 6.41s	0.0103	0.4909	0.3361	0.8597
 52	 6.45s	0.0103	0.5043	0.3498	0.8539
 53	 6.43s	0.0102	0.4801	0.3248	0.8617
 54	 6.45s	0.0102	0.5024	0.3504	0.8552
 55	 6.46s	0.0102	0.4879	0.3305	0.8596
 56	 6.43s	0.0101	0.4876	0.3406	0.8617
 57	 6.45s	0.0100	0.4781	0.3220	0.8647
 58	 6.42s	0.0100	0.4837	0.3261	0.8620
 59	 6.44s	0.0100	0.4860	0.3389	0.8603
 60	 6.44s	0.0100	0.4845	0.3286	0.8627
 61	 6.42s	0.0099	0.4778	0.3218	0.8641
 62	 6.42s	0.0099	0.4734	0.3180	0.8630
 63	 6.42s	0.0098	0.4732	0.3174	0.8643
 64	 6.43s	0.0098	0.4754	0.3186	0.8636
 65	 6.45s	0.0098	0.4847	0.3310	0.8600
 66	 6.46s	0.0098	0.4782	0.3253	0.8635
 67	 6.45s	0.0097	0.4689	0.3106	0.8665
 68	 6.42s	0.0097	0.4837	0.3260	0.8592
 69	 6.44s	0.0097	0.4801	0.3204	0.8611
 70	 6.44s	0.0097	0.4846	0.3297	0.8621
 71	 6.42s	0.0096	0.4800	0.3196	0.8609
 72	 6.45s	0.0096	0.4772	0.3181	0.8622
 73	 6.45s	0.0096	0.4709	0.3134	0.8657
 74	 6.46s	0.0096	0.4866	0.3284	0.8618
 75	 6.45s	0.0096	0.4902	0.3371	0.8601
 76	 6.45s	0.0095	0.4707	0.3110	0.8646
 77	 6.45s	0.0095	0.4651	0.3055	0.8672
 78	 6.43s	0.0095	0.4735	0.3163	0.8661
 79	 6.46s	0.0095	0.4684	0.3098	0.8657
 80	 6.45s	0.0094	0.5020	0.3444	0.8539
 81	 6.43s	0.0094	0.4757	0.3179	0.8654
 82	 6.45s	0.0094	0.4664	0.3076	0.8681
 83	 6.46s	0.0094	0.4670	0.3061	0.8677
 84	 6.46s	0.0094	0.4685	0.3116	0.8645
 85	 6.45s	0.0094	0.4764	0.3171	0.8651
 86	 6.44s	0.0093	0.4768	0.3137	0.8643
 87	 6.44s	0.0093	0.4711	0.3109	0.8646
 88	 6.46s	0.0094	0.4754	0.3144	0.8649
 89	 6.46s	0.0093	0.4724	0.3087	0.8662
 90	 6.45s	0.0093	0.4766	0.3153	0.8658
 91	 6.43s	0.0093	0.4746	0.3159	0.8667
 92	 6.45s	0.0093	0.4743	0.3145	0.8653
 93	 6.45s	0.0093	0.4697	0.3085	0.8671
 94	 6.45s	0.0092	0.4725	0.3142	0.8664
 95	 6.46s	0.0092	0.4735	0.3150	0.8639
 96	 6.45s	0.0092	0.4839	0.3178	0.8607
 97	 6.47s	0.0091	0.4871	0.3250	0.8570
 98	 6.49s	0.0092	0.4684	0.3071	0.8666
 99	 6.51s	0.0092	0.4759	0.3140	0.8648
100	 6.49s	0.0091	0.4685	0.3115	0.8655
101	 6.47s	0.0091	0.4734	0.3162	0.8639
102	 6.50s	0.0091	0.4833	0.3198	0.8630
103	 6.49s	0.0091	0.4723	0.3174	0.8666
104	 6.50s	0.0091	0.4769	0.3168	0.8632
105	 6.49s	0.0091	0.4701	0.3101	0.8655
106	 6.49s	0.0091	0.4666	0.3075	0.8685
107	 6.49s	0.0090	0.4755	0.3136	0.8635
108	 6.50s	0.0091	0.4831	0.3260	0.8595
109	 6.50s	0.0091	0.4723	0.3109	0.8653
110	 6.50s	0.0091	0.4714	0.3094	0.8675
111	 6.47s	0.0090	0.4851	0.3214	0.8601
112	 6.51s	0.0090	0.4729	0.3119	0.8653
113	 6.51s	0.0090	0.4743	0.3119	0.8646
114	 6.49s	0.0090	0.4699	0.3095	0.8676
115	 6.49s	0.0090	0.4703	0.3101	0.8659
116	 6.51s	0.0090	0.4693	0.3100	0.8679
117	 6.49s	0.0089	0.4764	0.3199	0.8660
118	 6.49s	0.0090	0.4666	0.3055	0.8664
119	 6.50s	0.0089	0.4651	0.3016	0.8682
120	 6.50s	0.0090	0.4679	0.3050	0.8671
121	 6.47s	0.0089	0.4747	0.3149	0.8655
122	 6.49s	0.0089	0.4659	0.3049	0.8687
123	 6.49s	0.0089	0.4673	0.3020	0.8670
124	 6.51s	0.0089	0.4691	0.3103	0.8669
125	 6.50s	0.0089	0.4737	0.3158	0.8659
126	 6.52s	0.0089	0.4727	0.3161	0.8677
