epoch	time used	train_loss	valid rse	valid rae	valid corr
  1	 3.66s	0.0404	0.7075	0.5326	0.7239
  2	 3.75s	0.0181	0.5994	0.4477	0.7844
  3	 3.76s	0.0162	0.5778	0.4239	0.8119
  4	 3.76s	0.0151	0.5898	0.4398	0.8170
  5	 3.76s	0.0143	0.5500	0.4061	0.8357
  6	 3.77s	0.0138	0.5340	0.3922	0.8398
  7	 3.76s	0.0132	0.5197	0.3765	0.8422
  8	 3.76s	0.0130	0.5069	0.3563	0.8487
  9	 3.78s	0.0126	0.5126	0.3595	0.8507
 10	 3.76s	0.0123	0.4992	0.3500	0.8558
 11	 3.73s	0.0122	0.5014	0.3504	0.8554
 12	 3.76s	0.0119	0.4921	0.3412	0.8570
 13	 3.75s	0.0117	0.5254	0.3836	0.8561
 14	 3.77s	0.0115	0.4940	0.3433	0.8591
 15	 3.77s	0.0114	0.4910	0.3374	0.8587
 16	 3.77s	0.0114	0.4951	0.3454	0.8622
 17	 3.77s	0.0111	0.5003	0.3537	0.8579
 18	 3.76s	0.0111	0.4957	0.3429	0.8616
 19	 3.77s	0.0110	0.4829	0.3295	0.8642
 20	 3.77s	0.0109	0.4918	0.3372	0.8644
 21	 3.73s	0.0108	0.4845	0.3375	0.8595
 22	 3.78s	0.0108	0.4771	0.3273	0.8631
 23	 3.76s	0.0107	0.4795	0.3277	0.8642
 24	 3.77s	0.0106	0.5329	0.3701	0.8497
 25	 3.76s	0.0107	0.4866	0.3306	0.8641
 26	 3.78s	0.0104	0.4845	0.3318	0.8654
 27	 3.77s	0.0104	0.4780	0.3209	0.8672
 28	 3.77s	0.0103	0.4742	0.3209	0.8657
 29	 3.76s	0.0103	0.4765	0.3225	0.8671
 30	 3.76s	0.0103	0.4808	0.3278	0.8646
 31	 3.74s	0.0101	0.4825	0.3281	0.8679
 32	 3.77s	0.0101	0.4745	0.3207	0.8689
 33	 3.77s	0.0101	0.4706	0.3161	0.8669
 34	 3.75s	0.0100	0.4713	0.3192	0.8670
 35	 3.77s	0.0099	0.4901	0.3407	0.8648
 36	 3.77s	0.0099	0.4786	0.3294	0.8666
 37	 3.77s	0.0099	0.4752	0.3212	0.8678
 38	 3.76s	0.0098	0.4675	0.3094	0.8688
 39	 3.77s	0.0098	0.4784	0.3244	0.8681
 40	 3.77s	0.0097	0.4764	0.3198	0.8660
 41	 3.73s	0.0097	0.4781	0.3210	0.8673
 42	 3.76s	0.0096	0.4688	0.3126	0.8692
 43	 3.78s	0.0096	0.4808	0.3292	0.8649
 44	 3.77s	0.0096	0.4717	0.3144	0.8686
 45	 3.77s	0.0096	0.4748	0.3220	0.8690
 46	 3.77s	0.0095	0.4798	0.3225	0.8649
 47	 3.77s	0.0094	0.4785	0.3208	0.8670
 48	 3.77s	0.0094	0.4690	0.3140	0.8687
 49	 3.77s	0.0094	0.4665	0.3109	0.8700
 50	 3.77s	0.0093	0.4735	0.3155	0.8696
 51	 3.74s	0.0093	0.4796	0.3208	0.8680
 52	 3.76s	0.0093	0.4733	0.3175	0.8684
 53	 3.75s	0.0093	0.4628	0.3073	0.8696
 54	 3.76s	0.0093	0.4714	0.3147	0.8692
 55	 3.77s	0.0092	0.4642	0.3098	0.8697
 56	 3.77s	0.0092	0.4723	0.3187	0.8693
 57	 3.78s	0.0092	0.4625	0.3065	0.8711
 58	 3.77s	0.0091	0.4631	0.3086	0.8704
 59	 3.76s	0.0091	0.4633	0.3066	0.8715
 60	 3.78s	0.0091	0.4661	0.3053	0.8713
 61	 3.74s	0.0091	0.4774	0.3210	0.8688
 62	 3.78s	0.0091	0.4692	0.3111	0.8713
 63	 3.76s	0.0091	0.4667	0.3071	0.8721
 64	 3.76s	0.0090	0.4656	0.3066	0.8719
 65	 3.77s	0.0090	0.4664	0.3095	0.8702
 66	 3.77s	0.0090	0.4642	0.3091	0.8701
 67	 3.77s	0.0090	0.4645	0.3097	0.8702
 68	 3.76s	0.0090	0.4658	0.3110	0.8722
 69	 3.75s	0.0090	0.4883	0.3242	0.8642
 70	 3.76s	0.0090	0.4702	0.3100	0.8703
 71	 3.74s	0.0089	0.4605	0.3026	0.8722
 72	 3.77s	0.0089	0.4624	0.3040	0.8721
 73	 3.77s	0.0089	0.4678	0.3070	0.8715
 74	 3.76s	0.0089	0.4612	0.3027	0.8724
 75	 3.77s	0.0089	0.4720	0.3155	0.8702
 76	 3.77s	0.0089	0.4681	0.3075	0.8711
 77	 3.78s	0.0089	0.4660	0.3115	0.8722
 78	 3.77s	0.0089	0.4672	0.3110	0.8724
 79	 3.76s	0.0088	0.4603	0.3005	0.8725
 80	 3.76s	0.0088	0.4599	0.3029	0.8727
 81	 3.73s	0.0088	0.4652	0.3050	0.8712
 82	 3.75s	0.0088	0.4627	0.3069	0.8716
 83	 3.77s	0.0088	0.4664	0.3052	0.8711
 84	 3.77s	0.0088	0.4649	0.3069	0.8716
 85	 3.79s	0.0088	0.4582	0.3011	0.8735
 86	 3.76s	0.0088	0.4609	0.3004	0.8726
 87	 3.76s	0.0088	0.4607	0.3020	0.8725
 88	 3.75s	0.0087	0.4639	0.3026	0.8723
 89	 3.78s	0.0087	0.4578	0.2971	0.8743
 90	 3.76s	0.0087	0.4691	0.3073	0.8719
 91	 3.74s	0.0087	0.4714	0.3113	0.8701
 92	 3.77s	0.0087	0.4567	0.2976	0.8742
 93	 3.78s	0.0087	0.4593	0.3012	0.8739
 94	 3.78s	0.0087	0.4623	0.3021	0.8732
 95	 3.77s	0.0087	0.4770	0.3154	0.8676
 96	 3.78s	0.0087	0.4656	0.3046	0.8718
 97	 3.77s	0.0087	0.4575	0.2986	0.8738
 98	 3.78s	0.0087	0.4639	0.3044	0.8718
 99	 3.78s	0.0087	0.4662	0.3034	0.8711
100	 3.78s	0.0087	0.4665	0.3012	0.8701
101	 3.75s	0.0087	0.4614	0.3024	0.8721
102	 3.77s	0.0087	0.4608	0.3037	0.8737
103	 3.77s	0.0086	0.4595	0.2988	0.8738
104	 3.78s	0.0086	0.4599	0.3001	0.8730
105	 3.78s	0.0086	0.4594	0.2990	0.8735
106	 3.78s	0.0086	0.4611	0.3009	0.8735
